titre,ville,code_postal,prix,surface,type_bien,pieces,url
Appartement - 3 pièces - vincennes 94300,Vincennes,94300,425 000 €,57 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23953833-vente-appartement-3-pieces-vincennes-94300-vincennes
Petite maison vincennes en copropriété de sol,Vincennes,94300,295 000 €,25 m²/ 110 m²,>Maisons à vendre,1 pièce,https://www.etreproprio.com/immobilier-23952668-vente-petite-maison-vincennes-en-copropriete-de-sol-vincennes
Parking  a  vincennes 94300,Vincennes,94300,21 660 €,12 m²,>Parkings à vendre,1 pièce,https://www.etreproprio.com/immobilier-23947821-vente-parking-a-vincennes-94300-vincennes
"Studio 34,48 m² + balcon 11m²",Vincennes,94300,355 300 €,34 m²,>Appartements à vendre,1 pièce,https://www.etreproprio.com/immobilier-23947590-vente-studio-3448-m-balcon-11m-vincennes
Appartement duplex - 151.47 m² carrez (dont 216.43m² au sol),Vincennes,94300,1 150 000 €,151 m²,>Appartements à vendre,6 pièces,https://www.etreproprio.com/immobilier-23947589-vente-appartement-duplex-15147-m-carrez-dont-21643m-au-sol-vincennes
Vincennes centre,Vincennes,94300,630 000 €,65 m²,>Maisons à vendre,3 pièces,https://www.etreproprio.com/immobilier-23027974-vente-vincennes-centre-vincennes
Appartement 38m² à vincennes,Vincennes,94300,305 000 €,38 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23939542-vente-appartement-38m-a-vincennes-vincennes
Appartement vincennes 2 pièce(s) 45 m2,Vincennes,94300,335 000 €,45 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23941594-vente-appartement-vincennes-2-pieces-45-m2-vincennes
Commerce 131m² à vincennes,Vincennes,94300,1 125 600 €,131 m²,>Commerces à vendre,,https://www.etreproprio.com/immobilier-23570990-vente-commerce-131m-a-vincennes-vincennes
Vente appartement vincennes(94300) 300 000ï¿œ,Vincennes,94300,300 000 €,36 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-22278648-vente-vente-appartement-vincennes94300-300-000i-oe-vincennes
64m² à vincennes,Vincennes,94300,13 824 €,64 m²,>Autres à vendre,,https://www.etreproprio.com/immobilier-23934090-vente-64m-a-vincennes-vincennes
Studio - centre de vincennes,Vincennes,94300,265 000 €,26 m²,>Appartements à vendre,1 pièce,https://www.etreproprio.com/immobilier-23930761-vente-studio-centre-de-vincennes-vincennes
Appartement 4 pièce(s) 94 m2,Vincennes,94300,810 000 €,94 m²,>Appartements à vendre,4 pièces,https://www.etreproprio.com/immobilier-23931152-vente-appartement-4-pieces-94-m2-vincennes
Appartement 89m² à vincennes,Vincennes,94300,94 600 €,89 m²,>Appartements à vendre,4 pièces,https://www.etreproprio.com/immobilier-23921315-vente-appartement-89m-a-vincennes-vincennes
"Beau 2 pièces de 41m² calme et lumineux- - rue massue, vincennes",Vincennes,94300,390 000 €,41 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23926406-vente-beau-2-pieces-de-41m-calme-et-lumineux-rue-massue-vincennes-vincennes
Appartement - 2 pièces - vincennes,Vincennes,94300,320 000 €,35 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23926378-vente-appartement-2-pieces-vincennes-vincennes
43m² à vincennes,Vincennes,94300,274 000 €,43 m²,>Autres à vendre,,https://www.etreproprio.com/immobilier-23921663-vente-43m-a-vincennes-vincennes
80m² à vincennes,Vincennes,94300,498 600 €,80 m²,>Autres à vendre,,https://www.etreproprio.com/immobilier-23921664-vente-80m-a-vincennes-vincennes
2 pièces 39m²  / vincennes,Vincennes,94300,330 000 €,39 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23926562-vente-2-pieces-39m-vincennes-vincennes
Vincennes - centre-ville - appartement 2p - sur cour arborée,Vincennes,94300,399 000 €,37 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23919102-vente-vincennes-centre-ville-appartement-2p-sur-cour-arboree-vincennes
Fonds de commerce à vendre vincennes (94),Vincennes,94300,99 000 €,57 m²,>Commerces à vendre,2 pièces,https://www.etreproprio.com/immobilier-23562101-vente-fonds-de-commerce-a-vendre-vincennes-94-vincennes
Appartement - 3 pièces - 1 chambre - vincennes,Vincennes,94300,415 000 €,52 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23917318-vente-appartement-3-pieces-1-chambre-vincennes-vincennes
Appartement 25m² à vincennes,Vincennes,94300,255 000 €,25 m²,>Appartements à vendre,1 pièce,https://www.etreproprio.com/immobilier-23916359-vente-appartement-25m-a-vincennes-vincennes
Appartement vincennes 2 pièce(s) 45 m2,Vincennes,94300,280 500 €,45 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23754148-vente-appartement-vincennes-2-pieces-45-m2-vincennes
Appartement 60m² à vincennes,Vincennes,94300,400 000 €,60 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23912570-vente-appartement-60m-a-vincennes-vincennes
Terrain 200m² à vincennes,Vincennes,94300,195 000 €,200 m²,>Terrains à vendre,,https://www.etreproprio.com/immobilier-23913540-vente-terrain-200m-a-vincennes-vincennes
"Appartement 2 pieces + combles - 44,06 m2",Vincennes,94300,349 000 €,44 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23917427-vente-appartement-2-pieces-combles-4406-m2-vincennes
Appartement vincennes 1 pièce(s) 10.25 m2,Vincennes,94300,116 000 €,10 m²,>Appartements à vendre,1 pièce,https://www.etreproprio.com/immobilier-23909757-vente-appartement-vincennes-1-pieces-1025-m2-vincennes
85m² à vincennes,Vincennes,94300,97 000 €,85 m²,>Autres à vendre,,https://www.etreproprio.com/immobilier-23881711-vente-85m-a-vincennes-vincennes
Appartement 32m² à vincennes,Vincennes,94300,250 500 €,32 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23896609-vente-appartement-32m-a-vincennes-vincennes
Vincennes : appartement 2 pièces 55.63 m2 avec balcon,Vincennes,94300,430 000 €,56 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23892364-vente-vincennes-appartement-2-pieces-5563-m2-avec-balcon-vincennes
Vincennes appartement de 3 pièces de 67 m2,Vincennes,94300,614 000 €,67 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23827581-vente-vincennes-appartement-de-3-pieces-de-67-m2-vincennes
Appartement vincennes 2 pièce(s) 32.09 m2,Vincennes,94300,250 050 €,32 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23543640-vente-appartement-vincennes-2-pieces-3209-m2-vincennes
Appartement 67m² à vincennes,Vincennes,94300,665 000 €,67 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23526468-vente-appartement-67m-a-vincennes-vincennes
Appartement 51m² à vincennes,Vincennes,94300,385 000 €,52 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23889972-vente-appartement-51m-a-vincennes-vincennes
"Hyper-centre de vincennes - 27,41m2",Vincennes,94300,275 000 €,27 m²,>Appartements à vendre,1 pièce,https://www.etreproprio.com/immobilier-23885673-vente-hyper-centre-de-vincennes-2741m2-vincennes
Appartement 174m² à vincennes,Vincennes,94300,1 120 000 €,174 m²,>Appartements à vendre,5 pièces,https://www.etreproprio.com/immobilier-23879847-vente-appartement-174m-a-vincennes-vincennes
Appartement 28m² à vincennes,Vincennes,94300,249 000 €,28 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23884831-vente-appartement-28m-a-vincennes-vincennes
Murs commerciaux,Vincennes,94300,450 000 €,87 m²,>Commerces à vendre,,https://www.etreproprio.com/immobilier-23886857-vente-murs-commerciaux-vincennes
Appartement vincennes 2 pièce(s) 34 m2,Vincennes,94300,270 000 €,33 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23762708-vente-appartement-vincennes-2-pieces-34-m2-vincennes
Studio bérault,Vincennes,94300,188 000 €,19 m²,>Appartements à vendre,1 pièce,https://www.etreproprio.com/immobilier-23878214-vente-studio-berault-vincennes
Parking 10m² à vincennes,Vincennes,94300,22 500 €,10 m²,>Parkings à vendre,,https://www.etreproprio.com/immobilier-23729164-vente-parking-10m-a-vincennes-vincennes
Vincennes appartement de 3 pièces de 53 m2,Vincennes,94300,485 000 €,53 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23878670-vente-vincennes-appartement-de-3-pieces-de-53-m2-vincennes
Appartement de 46m² avec 4m² d'exterieur(s),Vincennes,94300,546 000 €,46 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23869618-vente-appartement-de-46m-avec-4m-d-exterieurs-vincennes
Vincennes / 2-3 pièces / jardin privatif,Vincennes,94300,430 000 €,50 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23682404-vente-vincennes-2-3-pieces-jardin-privatif-vincennes
"A montreuil, limite vincennes",Vincennes,94300,399 000 €,50 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23875720-vente-a-montreuil-limite-vincennes-vincennes
Appartement 35m² à vincennes,Vincennes,94300,283 000 €,35 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23575975-vente-appartement-35m-a-vincennes-vincennes
Exceptionnel - studio rue du midi dernier etage,Vincennes,94300,237 000 €,21 m²,>Appartements à vendre,1 pièce,https://www.etreproprio.com/immobilier-23870398-vente-exceptionnel-studio-rue-du-midi-dernier-etage-vincennes
Appartement à vendre 2 pièces vincennes (94),Vincennes,94300,430 000 €,46 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23875451-vente-appartement-a-vendre-2-pieces-vincennes-94-vincennes
Superbe appartement 3 pièces avec balcons sur jardin,Vincennes,94300,726 900 €,73 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23623250-vente-superbe-appartement-3-pieces-avec-balcons-sur-jardin-vincennes
2 pieces - terrasse - qt republique,Vincennes,94300,495 000 €,41 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23864107-vente-2-pieces-terrasse-qt-republique-vincennes
Appartement 55 m2 avec ascenseur à vincennes,Vincennes,94300,504 000 €,55 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23866698-vente-appartement-55-m2-avec-ascenseur-a-vincennes-vincennes
Commerce 35m² à vincennes,Vincennes,94300,360 000 €,35 m²,>Commerces à vendre,1 pièce,https://www.etreproprio.com/immobilier-23857970-vente-commerce-35m-a-vincennes-vincennes
"Appartement à vendre 2 pièces, 53 m2, vincennes (94), avenue de la république, 1er étage avec ascenseur, cave et au calme",Vincennes,94300,410 000 €,53 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-22405234-vente-appartement-a-vendre-2-pieces-53-m2-vincennes-94-avenue-de-la-republique-1er-etage-avec-ascenseur-cave-et-au-calme-vincennes
Appartement 55m² à vincennes,Vincennes,94300,537 000 €,55 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23862916-vente-appartement-55m-a-vincennes-vincennes
Appartement vincennes 6 pièce(s) 146 m2,Vincennes,94300,1 349 000 €,146 m²,>Appartements à vendre,6 pièces,https://www.etreproprio.com/immobilier-23859335-vente-appartement-vincennes-6-pieces-146-m2-vincennes
Appartement 60m² à vincennes,Vincennes,94300,450 000 €,60 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23851822-vente-appartement-60m-a-vincennes-vincennes
Appartement 59m² à vincennes,Vincennes,94300,365 000 €,59 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23854047-vente-appartement-59m-a-vincennes-vincennes
Appartement 83m² à vincennes,Vincennes,94300,745 000 €,83 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23847671-vente-appartement-83m-a-vincennes-vincennes
Appartement 45m² à vincennes,Vincennes,94300,500 000 €,46 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23841188-vente-appartement-45m-a-vincennes-vincennes
Appartement proche cours marigny et métro,Vincennes,94300,294 000 €,30 m²,>Appartements à vendre,1 pièce,https://www.etreproprio.com/immobilier-23839800-vente-appartement-proche-cours-marigny-et-metro-vincennes
Appartement 80m² à vincennes,Vincennes,94300,658 000 €,80 m²,>Appartements à vendre,4 pièces,https://www.etreproprio.com/immobilier-23597343-vente-appartement-80m-a-vincennes-vincennes
Appartement 43m² à vincennes,Vincennes,94300,325 000 €,43 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23845931-vente-appartement-43m-a-vincennes-vincennes
Studio à vincennes,Vincennes,94300,140 000 €,16 m²,>Appartements à vendre,1 pièce,https://www.etreproprio.com/immobilier-23845926-vente-studio-a-vincennes-vincennes
Appartement 69m² à vincennes,Vincennes,94300,560 000 €,69 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23841189-vente-appartement-69m-a-vincennes-vincennes
Appartement 4p -vincennes centre,Vincennes,94300,760 000 €,77 m²,>Appartements à vendre,4 pièces,https://www.etreproprio.com/immobilier-23827101-vente-appartement-4p-vincennes-centre-vincennes
Appartement 145m² à vincennes,Vincennes,94300,1 350 000 €,145 m²,>Appartements à vendre,5 pièces,https://www.etreproprio.com/immobilier-23831909-vente-appartement-145m-a-vincennes-vincennes
Studio dans l'hyper-centre de vincennes,Vincennes,94300,300 000 €,27 m²,>Appartements à vendre,1 pièce,https://www.etreproprio.com/immobilier-23834257-vente-studio-dans-l-hyper-centre-de-vincennes-vincennes
Appartement 3 pièces 70 m2 - boulevard de la libération,Vincennes,94300,535 000 €,69 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23832989-vente-appartement-3-pieces-70-m2-boulevard-de-la-liberation-vincennes
Commerce 30m² à vincennes,Vincennes,94300,39 900 €,30 m²,>Commerces à vendre,,https://www.etreproprio.com/immobilier-23831538-vente-commerce-30m-a-vincennes-vincennes
3 piéces  -vincennes,Vincennes,94300,429 000 €,43 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23808475-vente-3-pieces-vincennes-vincennes
Appartement 50m² à vincennes,Vincennes,94300,400 000 €,50 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23821387-vente-appartement-50m-a-vincennes-vincennes
Appartement,Vincennes,94300,610 000 €,65 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23814991-vente-appartement-vincennes
Bel appartement f2 (f3 possible) vincennes centre: cachet et luminosite!,Vincennes,94300,430 000 €,45 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23824806-vente-bel-appartement-f2-f3-possible-vincennes-centre-cachet-et-luminosite-vincennes
Chateau de vincennes,Vincennes,94300,470 000 €,45 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23806203-vente-chateau-de-vincennes-vincennes
Au centre de vincennes,Vincennes,94300,339 000 €,34 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23808474-vente-au-centre-de-vincennes-vincennes
Vincennes proche rer a– spacieux bureaux indépendants modulables 321m²,Vincennes,94300,1 339 000 €,291 m²,>Commerces à vendre,10 pièces,https://www.etreproprio.com/immobilier-23808506-vente-vincennes-proche-rer-a-spacieux-bureaux-independants-modulables-321m-vincennes
Maison vincennes 6 pièce(s),Vincennes,94300,1 380 000 €,112 m²,>Maisons à vendre,6 pièces,https://www.etreproprio.com/immobilier-23809710-vente-maison-vincennes-6-pieces-vincennes
4 pièces 72m2+ balcon + cave + local vélos,Vincennes,94300,690 000 €,72 m²,>Appartements à vendre,4 pièces,https://www.etreproprio.com/immobilier-23812797-vente-4-pieces-72m2-balcon-cave-local-velos-vincennes
Appartement 49m² à vincennes,Vincennes,94300,495 000 €,49 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23808476-vente-appartement-49m-a-vincennes-vincennes
Maison familiale/ loft/immeuble,Vincennes,94300,2 180 000 €,226 m²,>Appartements à vendre,8 pièces,https://www.etreproprio.com/immobilier-23796340-vente-maison-familiale-loftimmeuble-vincennes
Studio / 2-pièces 28.5 m2 - vincennes,Vincennes,94300,219 000 €,29 m²,>Appartements à vendre,1 pièce,https://www.etreproprio.com/immobilier-23130787-vente-studio-2-pieces-285-m2-vincennes-vincennes
Appartement vincennes 4 pièce(s) 89 m2,Vincennes,94300,835 000 €,89 m²,>Appartements à vendre,4 pièces,https://www.etreproprio.com/immobilier-23799744-vente-appartement-vincennes-4-pieces-89-m2-vincennes
Appartement 40m² à vincennes,Vincennes,94300,361 000 €,40 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23690844-vente-appartement-40m-a-vincennes-vincennes
Appartement 41m² à vincennes,Vincennes,94300,292 500 €,41 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23783843-vente-appartement-41m-a-vincennes-vincennes
Appartement vincennes 2 pièce(s) 45 m2,Vincennes,94300,430 000 €,45 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23762710-vente-appartement-vincennes-2-pieces-45-m2-vincennes
Maison 75m² à vincennes,Vincennes,94300,749 000 €,75 m²,>Maisons à vendre,4 pièces,https://www.etreproprio.com/immobilier-23765177-vente-maison-75m-a-vincennes-vincennes
Appartement 19m² à vincennes,Vincennes,94300,188 000 €,19 m²,>Appartements à vendre,1 pièce,https://www.etreproprio.com/immobilier-23768704-vente-appartement-19m-a-vincennes-vincennes
Appartement à vendre 3 pièces proche de vincennes (94),Vincennes,94300,435 000 €,56 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23695387-vente-appartement-a-vendre-3-pieces-proche-de-vincennes-94-vincennes
Vincennes - rue defrance,Vincennes,94300,650 000 €,82 m²,>Appartements à vendre,4 pièces,https://www.etreproprio.com/immobilier-23564279-vente-vincennes-rue-defrance-vincennes
Vincennes ouest,Vincennes,94300,480 000 €,50 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23771547-vente-vincennes-ouest-vincennes
Appartement 49m² à vincennes,Vincennes,94300,399 000 €,49 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23751764-vente-appartement-49m-a-vincennes-vincennes
Appartement vincennes 2 pièce(s) 34 m2,Vincennes,94300,295 000 €,35 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23754143-vente-appartement-vincennes-2-pieces-34-m2-vincennes
Appartement 38m² à vincennes,Vincennes,94300,350 000 €,38 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23752948-vente-appartement-38m-a-vincennes-vincennes
Appartement 4 pièces - 3 chambres,Vincennes,94300,695 000 €,68 m²,>Appartements à vendre,4 pièces,https://www.etreproprio.com/immobilier-23556359-vente-appartement-4-pieces-3-chambres-vincennes
Maison 120m² à vincennes,Vincennes,94300,959 900 €,120 m²/ 170 m²,>Maisons à vendre,5 pièces,https://www.etreproprio.com/immobilier-23355763-vente-maison-120m-a-vincennes-vincennes
Appartement vincennes 3 pièce(s),Vincennes,94300,567 000 €,53 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23745518-vente-appartement-vincennes-3-pieces-vincennes
"Appartement 3 pièces vincennes, dernier étage, proche bois",Vincennes,94300,429 000 €,59 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23740976-vente-appartement-3-pieces-vincennes-dernier-etage-proche-bois-vincennes
Appartement 35m² à vincennes,Vincennes,94300,260 000 €,35 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23741822-vente-appartement-35m-a-vincennes-vincennes
Appartement 92m² à vincennes,Vincennes,94300,899 000 €,93 m²,>Appartements à vendre,4 pièces,https://www.etreproprio.com/immobilier-23741498-vente-appartement-92m-a-vincennes-vincennes
Appartement de 2 pièces de 43m²,Vincennes,94300,442 000 €,43 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23739984-vente-appartement-de-2-pieces-de-43m-vincennes
Parking 12m² à vincennes,Vincennes,94300,38 000 €,12 m²,>Parkings à vendre,,https://www.etreproprio.com/immobilier-23531607-vente-parking-12m-a-vincennes-vincennes
Appartement 60m² à vincennes,Vincennes,94300,499 000 €,60 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23731191-vente-appartement-60m-a-vincennes-vincennes
120m² à vincennes,Vincennes,94300,860 000 €,120 m²,>Autres à vendre,,https://www.etreproprio.com/immobilier-23711719-vente-120m-a-vincennes-vincennes
Appartement 32m² à vincennes,Vincennes,94300,295 000 €,32 m²,>Appartements à vendre,1 pièce,https://www.etreproprio.com/immobilier-23714903-vente-appartement-32m-a-vincennes-vincennes
"Villeurbanne, maison de ville de 166m2 + cave + 3 garages + cour intérieur...",Villeurbanne,69100,852 800 €,166 m²/ 175 m²,>Maisons à vendre,10 pièces,https://www.etreproprio.com/immobilier-23978545-vente-villeurbanne-maison-de-ville-de-166m2-cave-3-garages-cour-interieur-villeurbanne
Appartement 70m² à villeurbanne,Villeurbanne,69100,259 000 €,70 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23078644-vente-appartement-70m-a-villeurbanne-villeurbanne
Appartement 60m² à villeurbanne,Villeurbanne,69100,235 000 €,60 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23971129-vente-appartement-60m-a-villeurbanne-villeurbanne
Appartement 44m² à villeurbanne,Villeurbanne,69100,198 000 €,44 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23970802-vente-appartement-44m-a-villeurbanne-villeurbanne
Appartement 57m² à villeurbanne,Villeurbanne,69100,172 000 €,57 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23973876-vente-appartement-57m-a-villeurbanne-villeurbanne
Appartement 40m² à villeurbanne,Villeurbanne,69100,170 000 €,40 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23975426-vente-appartement-40m-a-villeurbanne-villeurbanne
Appartement 55m² à villeurbanne,Villeurbanne,69100,199 000 €,55 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23973308-vente-appartement-55m-a-villeurbanne-villeurbanne
Dernier etage/toit terrasse : appartement de 140m² sur villeurbanne  coeur gratte ciel,Villeurbanne,69100,599 900 €,140 m²,>Appartements à vendre,5 pièces,https://www.etreproprio.com/immobilier-23966221-vente-dernier-etagetoit-terrasse-appartement-de-140m-sur-villeurbanne-coeur-gratte-ciel-villeurbanne
"Appartement t3 60 m² avec 3 balcons + box fermé, vue parc, métro flachet",Villeurbanne,69100,235 000 €,60 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23968799-vente-appartement-t3-60-m-avec-3-balcons-box-ferme-vue-parc-metro-flachet-villeurbanne
Appartement 106m² à villeurbanne,Villeurbanne,69100,320 000 €,106 m²,>Appartements à vendre,5 pièces,https://www.etreproprio.com/immobilier-23964489-vente-appartement-106m-a-villeurbanne-villeurbanne
Appartement 47m² à villeurbanne,Villeurbanne,69100,180 000 €,47 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23621909-vente-appartement-47m-a-villeurbanne-villeurbanne
"Studio en rdc sur cour- 28,05m2 villeurbanne gratte ciel",Villeurbanne,69100,120 000 €,28 m²,>Appartements à vendre,1 pièce,https://www.etreproprio.com/immobilier-23951526-vente-studio-en-rdc-sur-cour-2805m2-villeurbanne-gratte-ciel-villeurbanne
Appartement 86m² à villeurbanne,Villeurbanne,69100,300 000 €,86 m²,>Appartements à vendre,4 pièces,https://www.etreproprio.com/immobilier-23964481-vente-appartement-86m-a-villeurbanne-villeurbanne
Appartement 53m² à villeurbanne,Villeurbanne,69100,210 000 €,53 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23341389-vente-appartement-53m-a-villeurbanne-villeurbanne
Appartement 90m² à villeurbanne,Villeurbanne,69100,266 000 €,90 m²,>Appartements à vendre,4 pièces,https://www.etreproprio.com/immobilier-23964485-vente-appartement-90m-a-villeurbanne-villeurbanne
Appartement 65m² à villeurbanne,Villeurbanne,69100,262 000 €,65 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23570637-vente-appartement-65m-a-villeurbanne-villeurbanne
Appartement 104m² à villeurbanne,Villeurbanne,69100,299 900 €,105 m²,>Appartements à vendre,5 pièces,https://www.etreproprio.com/immobilier-23964471-vente-appartement-104m-a-villeurbanne-villeurbanne
