titre,ville,prix,surface,url,code_ville,page
"Studio 34,48 m² + balcon 11m²",VINCENNES,355 300 €,34 m²,https://www.etreproprio.com/immobilier-23947590-vente-studio-3448-m-balcon-11m-vincennes,thflcpo.lc94080,1
Appartement duplex - 151.47 m² carrez (dont 216.43m² au sol),VINCENNES,1 150 000 €,151 m²,https://www.etreproprio.com/immobilier-23947589-vente-appartement-duplex-15147-m-carrez-dont-21643m-au-sol-vincennes,thflcpo.lc94080,1
Vincennes centre,VINCENNES,630 000 €,65 m²,https://www.etreproprio.com/immobilier-23027974-vente-vincennes-centre-vincennes,thflcpo.lc94080,2
Appartement 38m² à vincennes,VINCENNES,305 000 €,38 m²,https://www.etreproprio.com/immobilier-23939542-vente-appartement-38m-a-vincennes-vincennes,thflcpo.lc94080,2
Appartement vincennes 2 pièce(s) 45 m2,VINCENNES,335 000 €,45 m²,https://www.etreproprio.com/immobilier-23941594-vente-appartement-vincennes-2-pieces-45-m2-vincennes,thflcpo.lc94080,2
Commerce 131m² à vincennes,VINCENNES,1 125 600 €,131 m²,https://www.etreproprio.com/immobilier-23570990-vente-commerce-131m-a-vincennes-vincennes,thflcpo.lc94080,2
Vente appartement vincennes(94300) 300 000ï¿œ,VINCENNES,300 000 €,36 m²,https://www.etreproprio.com/immobilier-22278648-vente-vente-appartement-vincennes94300-300-000i-oe-vincennes,thflcpo.lc94080,2
64m² à vincennes,VINCENNES,13 824 €,64 m²,https://www.etreproprio.com/immobilier-23934090-vente-64m-a-vincennes-vincennes,thflcpo.lc94080,2
Studio - centre de vincennes,VINCENNES,265 000 €,26 m²,https://www.etreproprio.com/immobilier-23930761-vente-studio-centre-de-vincennes-vincennes,thflcpo.lc94080,2
Appartement 4 pièce(s) 94 m2,VINCENNES,810 000 €,94 m²,https://www.etreproprio.com/immobilier-23931152-vente-appartement-4-pieces-94-m2-vincennes,thflcpo.lc94080,2
Appartement 89m² à vincennes,VINCENNES,94 600 €,89 m²,https://www.etreproprio.com/immobilier-23921315-vente-appartement-89m-a-vincennes-vincennes,thflcpo.lc94080,2
"Beau 2 pièces de 41m² calme et lumineux- - rue massue, vincennes",VINCENNES,390 000 €,41 m²,https://www.etreproprio.com/immobilier-23926406-vente-beau-2-pieces-de-41m-calme-et-lumineux-rue-massue-vincennes-vincennes,thflcpo.lc94080,2
Appartement - 2 pièces - vincennes,VINCENNES,320 000 €,35 m²,https://www.etreproprio.com/immobilier-23926378-vente-appartement-2-pieces-vincennes-vincennes,thflcpo.lc94080,2
43m² à vincennes,VINCENNES,274 000 €,43 m²,https://www.etreproprio.com/immobilier-23921663-vente-43m-a-vincennes-vincennes,thflcpo.lc94080,2
80m² à vincennes,VINCENNES,498 600 €,80 m²,https://www.etreproprio.com/immobilier-23921664-vente-80m-a-vincennes-vincennes,thflcpo.lc94080,2
2 pièces 39m²  / vincennes,VINCENNES,330 000 €,39 m²,https://www.etreproprio.com/immobilier-23926562-vente-2-pieces-39m-vincennes-vincennes,thflcpo.lc94080,2
Vincennes - centre-ville - appartement 2p - sur cour arborée,VINCENNES,399 000 €,37 m²,https://www.etreproprio.com/immobilier-23919102-vente-vincennes-centre-ville-appartement-2p-sur-cour-arboree-vincennes,thflcpo.lc94080,2
Fonds de commerce à vendre vincennes (94),VINCENNES,99 000 €,57 m²,https://www.etreproprio.com/immobilier-23562101-vente-fonds-de-commerce-a-vendre-vincennes-94-vincennes,thflcpo.lc94080,2
Appartement - 3 pièces - 1 chambre - vincennes,VINCENNES,415 000 €,52 m²,https://www.etreproprio.com/immobilier-23917318-vente-appartement-3-pieces-1-chambre-vincennes-vincennes,thflcpo.lc94080,2
Appartement 25m² à vincennes,VINCENNES,255 000 €,25 m²,https://www.etreproprio.com/immobilier-23916359-vente-appartement-25m-a-vincennes-vincennes,thflcpo.lc94080,2
Appartement vincennes 2 pièce(s) 45 m2,VINCENNES,280 500 €,45 m²,https://www.etreproprio.com/immobilier-23754148-vente-appartement-vincennes-2-pieces-45-m2-vincennes,thflcpo.lc94080,2
Appartement 60m² à vincennes,VINCENNES,400 000 €,60 m²,https://www.etreproprio.com/immobilier-23912570-vente-appartement-60m-a-vincennes-vincennes,thflcpo.lc94080,2
Terrain 200m² à vincennes,VINCENNES,195 000 €,200 m²,https://www.etreproprio.com/immobilier-23913540-vente-terrain-200m-a-vincennes-vincennes,thflcpo.lc94080,3
"Appartement 2 pieces + combles - 44,06 m2",VINCENNES,349 000 €,44 m²,https://www.etreproprio.com/immobilier-23917427-vente-appartement-2-pieces-combles-4406-m2-vincennes,thflcpo.lc94080,3
Appartement vincennes 1 pièce(s) 10.25 m2,VINCENNES,116 000 €,10 m²,https://www.etreproprio.com/immobilier-23909757-vente-appartement-vincennes-1-pieces-1025-m2-vincennes,thflcpo.lc94080,3
85m² à vincennes,VINCENNES,97 000 €,85 m²,https://www.etreproprio.com/immobilier-23881711-vente-85m-a-vincennes-vincennes,thflcpo.lc94080,3
Appartement 32m² à vincennes,VINCENNES,250 500 €,32 m²,https://www.etreproprio.com/immobilier-23896609-vente-appartement-32m-a-vincennes-vincennes,thflcpo.lc94080,3
Vincennes : appartement 2 pièces 55.63 m2 avec balcon,VINCENNES,430 000 €,56 m²,https://www.etreproprio.com/immobilier-23892364-vente-vincennes-appartement-2-pieces-5563-m2-avec-balcon-vincennes,thflcpo.lc94080,3
Vincennes appartement de 3 pièces de 67 m2,VINCENNES,614 000 €,67 m²,https://www.etreproprio.com/immobilier-23827581-vente-vincennes-appartement-de-3-pieces-de-67-m2-vincennes,thflcpo.lc94080,3
Appartement vincennes 2 pièce(s) 32.09 m2,VINCENNES,250 050 €,32 m²,https://www.etreproprio.com/immobilier-23543640-vente-appartement-vincennes-2-pieces-3209-m2-vincennes,thflcpo.lc94080,3
Appartement 67m² à vincennes,VINCENNES,665 000 €,67 m²,https://www.etreproprio.com/immobilier-23526468-vente-appartement-67m-a-vincennes-vincennes,thflcpo.lc94080,3
Appartement 51m² à vincennes,VINCENNES,385 000 €,52 m²,https://www.etreproprio.com/immobilier-23889972-vente-appartement-51m-a-vincennes-vincennes,thflcpo.lc94080,3
"Hyper-centre de vincennes - 27,41m2",VINCENNES,275 000 €,27 m²,https://www.etreproprio.com/immobilier-23885673-vente-hyper-centre-de-vincennes-2741m2-vincennes,thflcpo.lc94080,3
Appartement 174m² à vincennes,VINCENNES,1 120 000 €,174 m²,https://www.etreproprio.com/immobilier-23879847-vente-appartement-174m-a-vincennes-vincennes,thflcpo.lc94080,3
Appartement 28m² à vincennes,VINCENNES,249 000 €,28 m²,https://www.etreproprio.com/immobilier-23884831-vente-appartement-28m-a-vincennes-vincennes,thflcpo.lc94080,3
Murs commerciaux,VINCENNES,450 000 €,87 m²,https://www.etreproprio.com/immobilier-23886857-vente-murs-commerciaux-vincennes,thflcpo.lc94080,3
Appartement vincennes 2 pièce(s) 34 m2,VINCENNES,270 000 €,33 m²,https://www.etreproprio.com/immobilier-23762708-vente-appartement-vincennes-2-pieces-34-m2-vincennes,thflcpo.lc94080,3
Studio bérault,VINCENNES,188 000 €,19 m²,https://www.etreproprio.com/immobilier-23878214-vente-studio-berault-vincennes,thflcpo.lc94080,3
Parking 10m² à vincennes,VINCENNES,22 500 €,10 m²,https://www.etreproprio.com/immobilier-23729164-vente-parking-10m-a-vincennes-vincennes,thflcpo.lc94080,3
Vincennes appartement de 3 pièces de 53 m2,VINCENNES,485 000 €,53 m²,https://www.etreproprio.com/immobilier-23878670-vente-vincennes-appartement-de-3-pieces-de-53-m2-vincennes,thflcpo.lc94080,3
Appartement de 46m² avec 4m² d'exterieur(s),VINCENNES,546 000 €,46 m²,https://www.etreproprio.com/immobilier-23869618-vente-appartement-de-46m-avec-4m-d-exterieurs-vincennes,thflcpo.lc94080,3
Vincennes / 2-3 pièces / jardin privatif,VINCENNES,430 000 €,50 m²,https://www.etreproprio.com/immobilier-23682404-vente-vincennes-2-3-pieces-jardin-privatif-vincennes,thflcpo.lc94080,3
"A montreuil, limite vincennes",VINCENNES,399 000 €,50 m²,https://www.etreproprio.com/immobilier-23875720-vente-a-montreuil-limite-vincennes-vincennes,thflcpo.lc94080,4
Appartement 35m² à vincennes,VINCENNES,283 000 €,35 m²,https://www.etreproprio.com/immobilier-23575975-vente-appartement-35m-a-vincennes-vincennes,thflcpo.lc94080,4
Exceptionnel - studio rue du midi dernier etage,VINCENNES,237 000 €,21 m²,https://www.etreproprio.com/immobilier-23870398-vente-exceptionnel-studio-rue-du-midi-dernier-etage-vincennes,thflcpo.lc94080,4
Appartement à vendre 2 pièces vincennes (94),VINCENNES,430 000 €,46 m²,https://www.etreproprio.com/immobilier-23875451-vente-appartement-a-vendre-2-pieces-vincennes-94-vincennes,thflcpo.lc94080,4
Superbe appartement 3 pièces avec balcons sur jardin,VINCENNES,726 900 €,73 m²,https://www.etreproprio.com/immobilier-23623250-vente-superbe-appartement-3-pieces-avec-balcons-sur-jardin-vincennes,thflcpo.lc94080,4
2 pieces - terrasse - qt republique,VINCENNES,495 000 €,41 m²,https://www.etreproprio.com/immobilier-23864107-vente-2-pieces-terrasse-qt-republique-vincennes,thflcpo.lc94080,4
Appartement 55 m2 avec ascenseur à vincennes,VINCENNES,504 000 €,55 m²,https://www.etreproprio.com/immobilier-23866698-vente-appartement-55-m2-avec-ascenseur-a-vincennes-vincennes,thflcpo.lc94080,4
Commerce 35m² à vincennes,VINCENNES,360 000 €,35 m²,https://www.etreproprio.com/immobilier-23857970-vente-commerce-35m-a-vincennes-vincennes,thflcpo.lc94080,4
"Appartement à vendre 2 pièces, 53 m2, vincennes (94), avenue de la république, 1er étage avec ascenseur, cave et au calme",VINCENNES,410 000 €,53 m²,https://www.etreproprio.com/immobilier-22405234-vente-appartement-a-vendre-2-pieces-53-m2-vincennes-94-avenue-de-la-republique-1er-etage-avec-ascenseur-cave-et-au-calme-vincennes,thflcpo.lc94080,4
Appartement 55m² à vincennes,VINCENNES,537 000 €,55 m²,https://www.etreproprio.com/immobilier-23862916-vente-appartement-55m-a-vincennes-vincennes,thflcpo.lc94080,4
Appartement vincennes 6 pièce(s) 146 m2,VINCENNES,1 349 000 €,146 m²,https://www.etreproprio.com/immobilier-23859335-vente-appartement-vincennes-6-pieces-146-m2-vincennes,thflcpo.lc94080,4
Appartement 60m² à vincennes,VINCENNES,450 000 €,60 m²,https://www.etreproprio.com/immobilier-23851822-vente-appartement-60m-a-vincennes-vincennes,thflcpo.lc94080,4
Appartement 59m² à vincennes,VINCENNES,365 000 €,59 m²,https://www.etreproprio.com/immobilier-23854047-vente-appartement-59m-a-vincennes-vincennes,thflcpo.lc94080,4
Appartement 83m² à vincennes,VINCENNES,745 000 €,83 m²,https://www.etreproprio.com/immobilier-23847671-vente-appartement-83m-a-vincennes-vincennes,thflcpo.lc94080,4
Appartement 45m² à vincennes,VINCENNES,500 000 €,46 m²,https://www.etreproprio.com/immobilier-23841188-vente-appartement-45m-a-vincennes-vincennes,thflcpo.lc94080,4
Appartement proche cours marigny et métro,VINCENNES,294 000 €,30 m²,https://www.etreproprio.com/immobilier-23839800-vente-appartement-proche-cours-marigny-et-metro-vincennes,thflcpo.lc94080,4
Appartement 80m² à vincennes,VINCENNES,658 000 €,80 m²,https://www.etreproprio.com/immobilier-23597343-vente-appartement-80m-a-vincennes-vincennes,thflcpo.lc94080,4
Appartement 43m² à vincennes,VINCENNES,325 000 €,43 m²,https://www.etreproprio.com/immobilier-23845931-vente-appartement-43m-a-vincennes-vincennes,thflcpo.lc94080,4
Studio à vincennes,VINCENNES,140 000 €,16 m²,https://www.etreproprio.com/immobilier-23845926-vente-studio-a-vincennes-vincennes,thflcpo.lc94080,4
Appartement 69m² à vincennes,VINCENNES,560 000 €,69 m²,https://www.etreproprio.com/immobilier-23841189-vente-appartement-69m-a-vincennes-vincennes,thflcpo.lc94080,4
Appartement 4p -vincennes centre,VINCENNES,760 000 €,77 m²,https://www.etreproprio.com/immobilier-23827101-vente-appartement-4p-vincennes-centre-vincennes,thflcpo.lc94080,5
Appartement 145m² à vincennes,VINCENNES,1 350 000 €,145 m²,https://www.etreproprio.com/immobilier-23831909-vente-appartement-145m-a-vincennes-vincennes,thflcpo.lc94080,5
Studio dans l'hyper-centre de vincennes,VINCENNES,300 000 €,27 m²,https://www.etreproprio.com/immobilier-23834257-vente-studio-dans-l-hyper-centre-de-vincennes-vincennes,thflcpo.lc94080,5
Appartement 3 pièces 70 m2 - boulevard de la libération,VINCENNES,535 000 €,69 m²,https://www.etreproprio.com/immobilier-23832989-vente-appartement-3-pieces-70-m2-boulevard-de-la-liberation-vincennes,thflcpo.lc94080,5
Commerce 30m² à vincennes,VINCENNES,39 900 €,30 m²,https://www.etreproprio.com/immobilier-23831538-vente-commerce-30m-a-vincennes-vincennes,thflcpo.lc94080,5
3 piéces  -vincennes,VINCENNES,429 000 €,43 m²,https://www.etreproprio.com/immobilier-23808475-vente-3-pieces-vincennes-vincennes,thflcpo.lc94080,5
Appartement 50m² à vincennes,VINCENNES,400 000 €,50 m²,https://www.etreproprio.com/immobilier-23821387-vente-appartement-50m-a-vincennes-vincennes,thflcpo.lc94080,5
Appartement,VINCENNES,610 000 €,65 m²,https://www.etreproprio.com/immobilier-23814991-vente-appartement-vincennes,thflcpo.lc94080,5
Bel appartement f2 (f3 possible) vincennes centre: cachet et luminosite!,VINCENNES,430 000 €,45 m²,https://www.etreproprio.com/immobilier-23824806-vente-bel-appartement-f2-f3-possible-vincennes-centre-cachet-et-luminosite-vincennes,thflcpo.lc94080,5
Chateau de vincennes,VINCENNES,470 000 €,45 m²,https://www.etreproprio.com/immobilier-23806203-vente-chateau-de-vincennes-vincennes,thflcpo.lc94080,5
Au centre de vincennes,VINCENNES,339 000 €,34 m²,https://www.etreproprio.com/immobilier-23808474-vente-au-centre-de-vincennes-vincennes,thflcpo.lc94080,5
Vincennes proche rer a– spacieux bureaux indépendants modulables 321m²,VINCENNES,1 339 000 €,291 m²,https://www.etreproprio.com/immobilier-23808506-vente-vincennes-proche-rer-a-spacieux-bureaux-independants-modulables-321m-vincennes,thflcpo.lc94080,5
Maison vincennes 6 pièce(s),VINCENNES,1 380 000 €,112 m²,https://www.etreproprio.com/immobilier-23809710-vente-maison-vincennes-6-pieces-vincennes,thflcpo.lc94080,5
4 pièces 72m2+ balcon + cave + local vélos,VINCENNES,690 000 €,72 m²,https://www.etreproprio.com/immobilier-23812797-vente-4-pieces-72m2-balcon-cave-local-velos-vincennes,thflcpo.lc94080,5
Appartement 49m² à vincennes,VINCENNES,495 000 €,49 m²,https://www.etreproprio.com/immobilier-23808476-vente-appartement-49m-a-vincennes-vincennes,thflcpo.lc94080,5
Maison familiale/ loft/immeuble,VINCENNES,2 180 000 €,226 m²,https://www.etreproprio.com/immobilier-23796340-vente-maison-familiale-loftimmeuble-vincennes,thflcpo.lc94080,5
Studio / 2-pièces 28.5 m2 - vincennes,VINCENNES,219 000 €,29 m²,https://www.etreproprio.com/immobilier-23130787-vente-studio-2-pieces-285-m2-vincennes-vincennes,thflcpo.lc94080,5
Appartement vincennes 4 pièce(s) 89 m2,VINCENNES,835 000 €,89 m²,https://www.etreproprio.com/immobilier-23799744-vente-appartement-vincennes-4-pieces-89-m2-vincennes,thflcpo.lc94080,5
Appartement 40m² à vincennes,VINCENNES,361 000 €,40 m²,https://www.etreproprio.com/immobilier-23690844-vente-appartement-40m-a-vincennes-vincennes,thflcpo.lc94080,5
Appartement 41m² à vincennes,VINCENNES,292 500 €,41 m²,https://www.etreproprio.com/immobilier-23783843-vente-appartement-41m-a-vincennes-vincennes,thflcpo.lc94080,5
Appartement vincennes 2 pièce(s) 45 m2,VINCENNES,430 000 €,45 m²,https://www.etreproprio.com/immobilier-23762710-vente-appartement-vincennes-2-pieces-45-m2-vincennes,thflcpo.lc94080,6
Maison 75m² à vincennes,VINCENNES,749 000 €,75 m²,https://www.etreproprio.com/immobilier-23765177-vente-maison-75m-a-vincennes-vincennes,thflcpo.lc94080,6
Appartement 19m² à vincennes,VINCENNES,188 000 €,19 m²,https://www.etreproprio.com/immobilier-23768704-vente-appartement-19m-a-vincennes-vincennes,thflcpo.lc94080,6
Appartement à vendre 3 pièces proche de vincennes (94),VINCENNES,435 000 €,56 m²,https://www.etreproprio.com/immobilier-23695387-vente-appartement-a-vendre-3-pieces-proche-de-vincennes-94-vincennes,thflcpo.lc94080,6
Vincennes - rue defrance,VINCENNES,650 000 €,82 m²,https://www.etreproprio.com/immobilier-23564279-vente-vincennes-rue-defrance-vincennes,thflcpo.lc94080,6
Vincennes ouest,VINCENNES,480 000 €,50 m²,https://www.etreproprio.com/immobilier-23771547-vente-vincennes-ouest-vincennes,thflcpo.lc94080,6
Appartement 49m² à vincennes,VINCENNES,399 000 €,49 m²,https://www.etreproprio.com/immobilier-23751764-vente-appartement-49m-a-vincennes-vincennes,thflcpo.lc94080,6
Appartement vincennes 2 pièce(s) 34 m2,VINCENNES,295 000 €,35 m²,https://www.etreproprio.com/immobilier-23754143-vente-appartement-vincennes-2-pieces-34-m2-vincennes,thflcpo.lc94080,6
Appartement 38m² à vincennes,VINCENNES,350 000 €,38 m²,https://www.etreproprio.com/immobilier-23752948-vente-appartement-38m-a-vincennes-vincennes,thflcpo.lc94080,6
Appartement 4 pièces - 3 chambres,VINCENNES,695 000 €,68 m²,https://www.etreproprio.com/immobilier-23556359-vente-appartement-4-pieces-3-chambres-vincennes,thflcpo.lc94080,6
Maison 120m² à vincennes,VINCENNES,959 900 €,120 m²,https://www.etreproprio.com/immobilier-23355763-vente-maison-120m-a-vincennes-vincennes,thflcpo.lc94080,6
Appartement vincennes 3 pièce(s),VINCENNES,567 000 €,53 m²,https://www.etreproprio.com/immobilier-23745518-vente-appartement-vincennes-3-pieces-vincennes,thflcpo.lc94080,6
"Appartement 3 pièces vincennes, dernier étage, proche bois",VINCENNES,429 000 €,59 m²,https://www.etreproprio.com/immobilier-23740976-vente-appartement-3-pieces-vincennes-dernier-etage-proche-bois-vincennes,thflcpo.lc94080,6
Appartement 35m² à vincennes,VINCENNES,260 000 €,35 m²,https://www.etreproprio.com/immobilier-23741822-vente-appartement-35m-a-vincennes-vincennes,thflcpo.lc94080,6
Appartement 92m² à vincennes,VINCENNES,899 000 €,93 m²,https://www.etreproprio.com/immobilier-23741498-vente-appartement-92m-a-vincennes-vincennes,thflcpo.lc94080,6
Appartement de 2 pièces de 43m²,VINCENNES,442 000 €,43 m²,https://www.etreproprio.com/immobilier-23739984-vente-appartement-de-2-pieces-de-43m-vincennes,thflcpo.lc94080,6
Parking 12m² à vincennes,VINCENNES,38 000 €,12 m²,https://www.etreproprio.com/immobilier-23531607-vente-parking-12m-a-vincennes-vincennes,thflcpo.lc94080,6
Appartement 60m² à vincennes,VINCENNES,499 000 €,60 m²,https://www.etreproprio.com/immobilier-23731191-vente-appartement-60m-a-vincennes-vincennes,thflcpo.lc94080,6
120m² à vincennes,VINCENNES,860 000 €,120 m²,https://www.etreproprio.com/immobilier-23711719-vente-120m-a-vincennes-vincennes,thflcpo.lc94080,6
Appartement 32m² à vincennes,VINCENNES,295 000 €,32 m²,https://www.etreproprio.com/immobilier-23714903-vente-appartement-32m-a-vincennes-vincennes,thflcpo.lc94080,6
"Villeurbanne, maison de ville de 166m2 + cave + 3 garages + cour intérieur...",VILLEURBANNE,852 800 €,166 m²,https://www.etreproprio.com/immobilier-23978545-vente-villeurbanne-maison-de-ville-de-166m2-cave-3-garages-cour-interieur-villeurbanne,thflcpo.lc69266,1
Appartement 70m² à villeurbanne,VILLEURBANNE,259 000 €,70 m²,https://www.etreproprio.com/immobilier-23078644-vente-appartement-70m-a-villeurbanne-villeurbanne,thflcpo.lc69266,1
Appartement 60m² à villeurbanne,VILLEURBANNE,235 000 €,60 m²,https://www.etreproprio.com/immobilier-23971129-vente-appartement-60m-a-villeurbanne-villeurbanne,thflcpo.lc69266,1
Appartement 44m² à villeurbanne,VILLEURBANNE,198 000 €,44 m²,https://www.etreproprio.com/immobilier-23970802-vente-appartement-44m-a-villeurbanne-villeurbanne,thflcpo.lc69266,1
Appartement 57m² à villeurbanne,VILLEURBANNE,172 000 €,57 m²,https://www.etreproprio.com/immobilier-23973876-vente-appartement-57m-a-villeurbanne-villeurbanne,thflcpo.lc69266,1
Appartement 40m² à villeurbanne,VILLEURBANNE,170 000 €,40 m²,https://www.etreproprio.com/immobilier-23975426-vente-appartement-40m-a-villeurbanne-villeurbanne,thflcpo.lc69266,1
Appartement 55m² à villeurbanne,VILLEURBANNE,199 000 €,55 m²,https://www.etreproprio.com/immobilier-23973308-vente-appartement-55m-a-villeurbanne-villeurbanne,thflcpo.lc69266,1
Dernier etage/toit terrasse : appartement de 140m² sur villeurbanne  coeur gratte ciel,VILLEURBANNE,599 900 €,140 m²,https://www.etreproprio.com/immobilier-23966221-vente-dernier-etagetoit-terrasse-appartement-de-140m-sur-villeurbanne-coeur-gratte-ciel-villeurbanne,thflcpo.lc69266,1
"Appartement t3 60 m² avec 3 balcons + box fermé, vue parc, métro flachet",VILLEURBANNE,235 000 €,60 m²,https://www.etreproprio.com/immobilier-23968799-vente-appartement-t3-60-m-avec-3-balcons-box-ferme-vue-parc-metro-flachet-villeurbanne,thflcpo.lc69266,1
Appartement 106m² à villeurbanne,VILLEURBANNE,320 000 €,106 m²,https://www.etreproprio.com/immobilier-23964489-vente-appartement-106m-a-villeurbanne-villeurbanne,thflcpo.lc69266,1
Appartement 47m² à villeurbanne,VILLEURBANNE,180 000 €,47 m²,https://www.etreproprio.com/immobilier-23621909-vente-appartement-47m-a-villeurbanne-villeurbanne,thflcpo.lc69266,1
"Studio en rdc sur cour- 28,05m2 villeurbanne gratte ciel",VILLEURBANNE,120 000 €,28 m²,https://www.etreproprio.com/immobilier-23951526-vente-studio-en-rdc-sur-cour-2805m2-villeurbanne-gratte-ciel-villeurbanne,thflcpo.lc69266,1
Appartement 86m² à villeurbanne,VILLEURBANNE,300 000 €,86 m²,https://www.etreproprio.com/immobilier-23964481-vente-appartement-86m-a-villeurbanne-villeurbanne,thflcpo.lc69266,1
Appartement 53m² à villeurbanne,VILLEURBANNE,210 000 €,53 m²,https://www.etreproprio.com/immobilier-23341389-vente-appartement-53m-a-villeurbanne-villeurbanne,thflcpo.lc69266,1
Appartement 90m² à villeurbanne,VILLEURBANNE,266 000 €,90 m²,https://www.etreproprio.com/immobilier-23964485-vente-appartement-90m-a-villeurbanne-villeurbanne,thflcpo.lc69266,1
Appartement 65m² à villeurbanne,VILLEURBANNE,262 000 €,65 m²,https://www.etreproprio.com/immobilier-23570637-vente-appartement-65m-a-villeurbanne-villeurbanne,thflcpo.lc69266,1
Appartement 104m² à villeurbanne,VILLEURBANNE,299 900 €,105 m²,https://www.etreproprio.com/immobilier-23964471-vente-appartement-104m-a-villeurbanne-villeurbanne,thflcpo.lc69266,1
Appartement t4  de 90m² avec terrasse de 10m²,VILLEURBANNE,490 000 €,90 m²,https://www.etreproprio.com/immobilier-23964641-vente-appartement-t4-de-90m-avec-terrasse-de-10m-villeurbanne,thflcpo.lc69266,1
Appartement 61m² à villeurbanne,VILLEURBANNE,226 000 €,62 m²,https://www.etreproprio.com/immobilier-23964476-vente-appartement-61m-a-villeurbanne-villeurbanne,thflcpo.lc69266,1
Appartement 88m² à villeurbanne,VILLEURBANNE,307 000 €,88 m²,https://www.etreproprio.com/immobilier-23964452-vente-appartement-88m-a-villeurbanne-villeurbanne,thflcpo.lc69266,1
Appartement 66m² à villeurbanne,VILLEURBANNE,200 000 €,66 m²,https://www.etreproprio.com/immobilier-23692571-vente-appartement-66m-a-villeurbanne-villeurbanne,thflcpo.lc69266,2
Appartement 48m² à villeurbanne,VILLEURBANNE,172 000 €,48 m²,https://www.etreproprio.com/immobilier-23964453-vente-appartement-48m-a-villeurbanne-villeurbanne,thflcpo.lc69266,2
Appartement 90m² à villeurbanne,VILLEURBANNE,359 000 €,90 m²,https://www.etreproprio.com/immobilier-23964459-vente-appartement-90m-a-villeurbanne-villeurbanne,thflcpo.lc69266,2
